group,image_path,p,yhat,json_ok,evidence_ok,hallucination,too_long,fail_safe,fail_reason,unsupported_localization,unsupported_size,unsupported_tension,unsupported_imaging_sign,report_word_count,diagnostic_report,evidence_text_ids,evidence_case_ids
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8353_train_0_.png,0.04323223978281021,0,True,True,False,False,False,,False,False,False,False,69,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: Continued need for human review. This does not fully exclude disease in every case.
Limitations: This is a classification-only output. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.","[""KB_064"", ""KB_072""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8353_train_0_.png,0.04323223978281021,0,True,True,False,False,False,,False,False,False,False,75,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: This output requires qualified human review and clinical correlation. This does not fully exclude disease in every case.
Limitations: This is an automated screening output. The contextual support for this finding is limited. The conclusion should be interpreted with appropriate clinical caution.","[""KB_064"", ""KB_072"", ""KB_065""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.4340.1517875182.354827"", ""1.2.276.0.7230010.3.1.4.8323329.11180.1517875231.591001""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3840_train_0_.png,0.22960901260375977,0,True,True,False,False,False,,False,False,False,False,73,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: No features suggestive of pneumothorax are identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further assessment of localization, laterality, size, extent, or tension physiology is not available from this output.
Limitations: This analysis is based on a single view and may not detect all cases, particularly small or localized pneumothoraces. Clinical context and physical examination remain essential.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3840_train_0_.png,0.22960901260375977,0,True,True,False,False,False,,False,False,False,False,83,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: The analysis is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is identified.
Recommendations: Clinical correlation is advised. Further assessment may be considered if clinical suspicion persists.
Limitations: The analysis is based on a single view. The retrieved reference cases show low similarity to the current study, which may affect the stability of the interpretation. Assessment of laterality, size, extent, or tension physiology is not available from this output.",[],"[""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.12897.1517875242.426825"", ""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3840_train_0_.png,0.22960901260375977,0,True,True,False,False,False,,False,False,False,False,78,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: Continued need for human review and correlation with the full clinical context is required.
Limitations: This is an automated screening output and does not fully exclude disease in every case. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.","[""KB_064"", ""KB_072""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3840_train_0_.png,0.22960901260375977,0,True,True,False,False,False,,False,False,False,False,100,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax. This does not fully exclude disease in every case.
Impression: Impression is not suggestive of pneumothorax on this automated screening output, with continued need for human review.
Recommendations: Clinical correlation and review by a qualified radiologist is required. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output.
Limitations: This is an automated screening output with inherent limitations. The output should be interpreted with appropriate clinical caution and does not constitute a final diagnostic report.","[""KB_064"", ""KB_072"", ""KB_065""]","[""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.12897.1517875242.426825"", ""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3341_train_0_.png,0.028711462393403053,0,True,True,False,False,False,,False,False,False,False,71,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: The examination is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax identified.
Recommendations: Clinical correlation is advised. Further imaging may be considered if clinical suspicion persists.
Limitations: This is a screening assessment. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output. The findings should be interpreted in the full clinical context.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3341_train_0_.png,0.028711462393403053,0,True,True,False,False,False,,False,False,False,False,80,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: No pneumothorax is identified. The examination is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax.
Recommendations: Clinical correlation is advised. If clinical suspicion persists, consider further evaluation.
Limitations: This assessment is based on a single view. The retrieved reference cases were of low similarity and showed conflicting predictions, which limits the contextual support for this finding. Assessment of laterality, size, extent, or tension physiology is not available from this output.",[],"[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.5038.1517875186.83236""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3341_train_0_.png,0.028711462393403053,0,True,True,False,False,False,,False,False,False,False,69,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: Continued need for human review. This does not fully exclude disease in every case.
Limitations: This is a classification-only output. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output.","[""KB_064"", ""KB_072""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\3341_train_0_.png,0.028711462393403053,0,True,True,False,False,False,,False,False,False,False,82,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: Continued need for human review. This output does not fully exclude disease in every case.
Limitations: This is an automated screening output. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output. Interpretation should be integrated with the full clinical context and imaging study.","[""KB_064"", ""KB_072""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.5038.1517875186.83236""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8545_train_0_.png,0.023993846029043198,0,True,True,False,False,False,,False,False,False,False,70,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: The findings are not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is identified.
Recommendations: Clinical correlation is advised. Further imaging may be considered if clinical suspicion persists.
Limitations: This is a screening assessment. Localization, laterality, size, and extent of any potential finding are not available from this output. The assessment does not evaluate for tension physiology.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8545_train_0_.png,0.023993846029043198,0,True,True,False,False,False,,False,False,False,False,47,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: No pneumothorax is identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised.
Limitations: The assessment is based on a single view. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.",[],[]
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8545_train_0_.png,0.023993846029043198,0,True,True,False,False,False,,False,False,False,False,92,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax. This does not fully exclude disease in every case.
Impression: Impression is not suggestive of pneumothorax on this automated screening output, with continued need for human review.
Recommendations: Clinical correlation and review by a qualified radiologist is required.
Limitations: This is an automated screening output only. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output. The output should not be used as a standalone diagnostic tool.","[""KB_064"", ""KB_072""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8545_train_0_.png,0.023993846029043198,0,True,True,False,False,False,,False,False,False,False,82,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: This output requires qualified human review and clinical correlation. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output.
Limitations: This is an automated screening output and does not fully exclude disease in every case. The conclusion should be interpreted with appropriate clinical caution.","[""KB_064"", ""KB_072"", ""KB_065""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.4340.1517875182.354827"", ""1.2.276.0.7230010.3.1.4.8323329.11180.1517875231.591001""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\59_train_1_.png,0.8911826610565186,1,True,True,False,False,False,,False,False,False,False,68,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: The findings are suggestive of pneumothorax.
Impression: Findings suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further evaluation with additional imaging may be considered based on clinical presentation.
Limitations: This is a screening assessment. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output. Clinical and radiographic correlation is required.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\59_train_1_.png,0.8911826610565186,1,True,True,False,False,False,,False,False,False,False,54,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: The findings are suggestive of pneumothorax.
Impression: Findings suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further evaluation may be considered.
Limitations: This assessment is based on a single view. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.",[],"[""1.2.276.0.7230010.3.1.4.8323329.1221.1517875166.844950"", ""1.2.276.0.7230010.3.1.4.8323329.388.1517875162.713279"", ""1.2.276.0.7230010.3.1.4.8323329.12166.1517875237.793760"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.5359.1517875187.749312""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\59_train_1_.png,0.8911826610565186,1,True,True,False,False,False,,False,False,False,False,87,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is suggestive of pneumothorax.
Impression: Impression is suggestive of pneumothorax on automated screening, pending qualified human review.
Recommendations: Urgent clinical correlation and formal radiologist review are required. This output does not provide assessment of laterality, localization, size, extent, or tension physiology.
Limitations: This is an automated screening output only. It is not a definitive diagnostic report and must be interpreted by a qualified radiologist. False positive and false negative results are possible.","[""KB_061"", ""KB_070""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\59_train_1_.png,0.8911826610565186,1,True,True,False,False,False,,False,False,False,False,75,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is suggestive of pneumothorax.
Impression: Impression is suggestive of pneumothorax on automated screening, pending qualified human review.
Recommendations: Urgent clinical correlation and formal radiologist review are required. This output does not provide assessment of laterality, size, extent, or tension physiology.
Limitations: This is an automated screening output. Interpretation should remain cautious. It does not fully exclude disease in every case.","[""KB_061"", ""KB_070"", ""KB_062"", ""KB_064"", ""KB_063"", ""KB_072""]","[""1.2.276.0.7230010.3.1.4.8323329.1221.1517875166.844950"", ""1.2.276.0.7230010.3.1.4.8323329.388.1517875162.713279"", ""1.2.276.0.7230010.3.1.4.8323329.12166.1517875237.793760"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.5359.1517875187.749312""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8821_train_0_.png,0.020927265286445618,0,True,True,False,False,False,,False,False,False,False,68,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: No features suggestive of pneumothorax are identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further assessment of localization, laterality, size, extent, or tension physiology is not available from this output.
Limitations: This analysis is based on a single view and may not detect all abnormalities. Clinical context and physical examination remain essential.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8821_train_0_.png,0.020927265286445618,0,True,True,False,False,False,,False,False,False,False,83,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: The analysis is not suggestive of pneumothorax.
Impression: No evidence of pneumothorax is identified.
Recommendations: Clinical correlation is advised. Further evaluation may be considered if clinical suspicion persists.
Limitations: The analysis is based on a single view. The retrieved reference cases show low similarity to the current study, which may affect the stability of the interpretation. Assessment of laterality, size, extent, or tension physiology is not available from this output.",[],"[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.11180.1517875231.591001""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8821_train_0_.png,0.020927265286445618,0,True,True,False,False,False,,False,False,False,False,81,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: This output requires review by a qualified radiologist. This does not fully exclude disease in every case.
Limitations: This is a classification-only output. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output. The conclusion should be interpreted with appropriate clinical caution.","[""KB_064"", ""KB_072"", ""KB_065""]",[]
G3_both,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8821_train_0_.png,0.020927265286445618,0,True,True,False,False,False,,False,False,False,False,89,"Clinical context: Automated screening for pneumothorax.
Technique: Analysis performed using an automated screening system.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: This output requires qualified human review and clinical correlation. This does not fully exclude disease in every case.
Limitations: This is an automated screening output with inherent limitations. The conclusion should be interpreted with appropriate clinical caution. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.","[""KB_064"", ""KB_072"", ""KB_065""]","[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.1926.1517875170.276641"", ""1.2.276.0.7230010.3.1.4.8323329.11180.1517875231.591001""]"
G0_llm_only,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8245_train_0_.png,0.013857156038284302,0,True,True,False,False,False,,False,False,False,False,61,"Clinical context: Screening for pneumothorax.
Technique: AI-assisted analysis of chest radiograph.
Findings: No evidence suggestive of pneumothorax.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is recommended. Further imaging may be considered if clinical suspicion persists.
Limitations: This analysis is limited to screening for pneumothorax. Localization, laterality, size, extent, and assessment for tension physiology are not available from this output.",[],[]
G1_image_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8245_train_0_.png,0.013857156038284302,0,True,True,False,False,False,,False,False,False,False,64,"Clinical context: Screening for pneumothorax.
Technique: Chest radiograph.
Findings: No pneumothorax is identified.
Impression: Not suggestive of pneumothorax.
Recommendations: Clinical correlation is advised. Further imaging may be considered if clinical suspicion persists.
Limitations: The assessment is based on a single view. Localization, laterality, size, and extent are not available from this output. The findings should be interpreted with caution due to limited contextual support.",[],"[""1.2.276.0.7230010.3.1.4.8323329.14006.1517875249.93352"", ""1.2.276.0.7230010.3.1.4.8323329.4939.1517875185.563513"", ""1.2.276.0.7230010.3.1.4.8323329.1038.1517875166.7134"", ""1.2.276.0.7230010.3.1.4.8323329.11180.1517875231.591001"", ""1.2.276.0.7230010.3.1.4.8323329.4340.1517875182.354827""]"
G2_text_rag,C:\Users\Steven\Desktop\Final Project\Datasets\Dataset_1\Chest X-Ray Images with Pneumothorax Masks\png_images\8245_train_0_.png,0.013857156038284302,0,True,True,False,False,False,,False,False,False,False,79,"Clinical context: Automated screening for pneumothorax.
Technique: Automated analysis performed.
Findings: The automated screening output is not suggestive of pneumothorax.
Impression: Impression is not suggestive of pneumothorax on this automated screening output.
Recommendations: Continued need for human review. This output does not fully exclude disease in every case.
Limitations: This is a classification-only output. Assessment of laterality, localization, size, extent, or tension physiology is not available from this output. The conclusion should be interpreted with appropriate clinical caution.","[""KB_064"", ""KB_072"", ""KB_065""]",[]
